model,MAE,RMSE,MASE,Bias
foundation_model,38.43585592361111,77.93443607893383,0.719452237712373,-33.470266683531754
feature_model,43.06968643173338,67.27624840612758,0.8061894690849277,7.491468728534758
seasonal_naive_weekly,43.457341269841265,81.40888006825948,0.813445692057847,-13.15972222222222
sarimax,44.43559919722114,69.0190948538819,0.8317569755716597,2.9476735288887106
seasonal_naive_daily,48.30853174603175,85.56471876821426,0.9042515232223909,1.7509920634920608
mean,50.258091561237656,74.93830424093498,0.9407438853124059,-3.286761541802698
naive,85.55059523809524,110.38970919802894,1.6013580471317992,50.97718253968254
drift,85.8020893795971,110.67918975059628,1.606065579162169,51.367922040276795
